BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
Software_Priacy_v3.nlogo,,,,,,,,,,,,
Release Interval Variation Preferential,,,,,,,,,,,,
05/11/2021 22:39:14:573 +0530,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-16,16,-16,16,,,,,,,,,
[run number],Crack-Distribution-Radius,Waiting-Threshold,Price,Months-To-Crack,New-Version-Release-Interval,Price-Threshold,Network-Type,Max-License-Period,Num-People,[step],profit,loss
179,5,12,10,5,12,20,Preferential Attachment,7,100,36001,440,7990
180,5,12,10,5,12,20,Preferential Attachment,7,100,36001,530,8450
182,5,12,10,6,1,20,Preferential Attachment,7,100,36001,18890,990
181,5,12,10,6,1,20,Preferential Attachment,7,100,36001,20880,1110
183,5,12,10,6,1,20,Preferential Attachment,7,100,36001,16300,0
184,5,12,10,6,2,20,Preferential Attachment,7,100,36001,19990,600
185,5,12,10,6,2,20,Preferential Attachment,7,100,36001,21400,0
186,5,12,10,6,2,20,Preferential Attachment,7,100,36001,19300,800
187,5,12,10,6,3,20,Preferential Attachment,7,100,36001,23650,0
188,5,12,10,6,3,20,Preferential Attachment,7,100,36001,23180,200
189,5,12,10,6,3,20,Preferential Attachment,7,100,36001,24280,400
190,5,12,10,6,4,20,Preferential Attachment,7,100,36001,24570,400
191,5,12,10,6,4,20,Preferential Attachment,7,100,36001,24220,200
192,5,12,10,6,4,20,Preferential Attachment,7,100,36001,22730,200
193,5,12,10,6,5,20,Preferential Attachment,7,100,36001,31900,200
194,5,12,10,6,5,20,Preferential Attachment,7,100,36001,24720,0
195,5,12,10,6,5,20,Preferential Attachment,7,100,36001,26520,400
196,5,12,10,6,6,20,Preferential Attachment,7,100,36001,9380,4590
197,5,12,10,6,6,20,Preferential Attachment,7,100,36001,9440,3040
198,5,12,10,6,6,20,Preferential Attachment,7,100,36001,8850,5170
199,5,12,10,6,7,20,Preferential Attachment,7,100,36001,3420,8850
201,5,12,10,6,7,20,Preferential Attachment,7,100,36001,6500,3430
200,5,12,10,6,7,20,Preferential Attachment,7,100,36001,4420,7860
202,5,12,10,6,8,20,Preferential Attachment,7,100,36001,7200,4830
203,5,12,10,6,8,20,Preferential Attachment,7,100,36001,4710,0
204,5,12,10,6,8,20,Preferential Attachment,7,100,36001,3120,5000
205,5,12,10,6,9,20,Preferential Attachment,7,100,36001,2730,9060
206,5,12,10,6,9,20,Preferential Attachment,7,100,36001,3380,7880
207,5,12,10,6,9,20,Preferential Attachment,7,100,36001,3210,6640
208,5,12,10,6,10,20,Preferential Attachment,7,100,36001,2440,6160
209,5,12,10,6,10,20,Preferential Attachment,7,100,36001,3130,7820
210,5,12,10,6,10,20,Preferential Attachment,7,100,36001,970,7770
211,5,12,10,6,11,20,Preferential Attachment,7,100,36001,1390,8410
212,5,12,10,6,11,20,Preferential Attachment,7,100,36001,780,8450
213,5,12,10,6,11,20,Preferential Attachment,7,100,36001,540,8020
214,5,12,10,6,12,20,Preferential Attachment,7,100,36001,290,8590
215,5,12,10,6,12,20,Preferential Attachment,7,100,36001,610,5410
216,5,12,10,6,12,20,Preferential Attachment,7,100,36001,520,8550
217,5,12,10,7,1,20,Preferential Attachment,7,100,36001,19840,340
218,5,12,10,7,1,20,Preferential Attachment,7,100,36001,20390,340
219,5,12,10,7,1,20,Preferential Attachment,7,100,36001,20570,170
220,5,12,10,7,2,20,Preferential Attachment,7,100,36001,20670,170
221,5,12,10,7,2,20,Preferential Attachment,7,100,36001,27170,170
222,5,12,10,7,2,20,Preferential Attachment,7,100,36001,22440,170
223,5,12,10,7,3,20,Preferential Attachment,7,100,36001,24960,340
224,5,12,10,7,3,20,Preferential Attachment,7,100,36001,21480,0
225,5,12,10,7,3,20,Preferential Attachment,7,100,36001,21560,1020
226,5,12,10,7,4,20,Preferential Attachment,7,100,36001,23380,170
227,5,12,10,7,4,20,Preferential Attachment,7,100,36001,25860,340
228,5,12,10,7,4,20,Preferential Attachment,7,100,36001,26770,340
229,5,12,10,7,5,20,Preferential Attachment,7,100,36001,25740,0
230,5,12,10,7,5,20,Preferential Attachment,7,100,36001,28520,0
231,5,12,10,7,5,20,Preferential Attachment,7,100,36001,27630,1250
232,5,12,10,7,6,20,Preferential Attachment,7,100,36001,26120,340
233,5,12,10,7,6,20,Preferential Attachment,7,100,36001,27380,570
234,5,12,10,7,6,20,Preferential Attachment,7,100,36001,25700,340
235,5,12,10,7,7,20,Preferential Attachment,7,100,36001,9460,4720
236,5,12,10,7,7,20,Preferential Attachment,7,100,36001,6770,4100
237,5,12,10,7,7,20,Preferential Attachment,7,100,36001,9070,4970
238,5,12,10,7,8,20,Preferential Attachment,7,100,36001,3680,6470
239,5,12,10,7,8,20,Preferential Attachment,7,100,36001,5920,6680
240,5,12,10,7,8,20,Preferential Attachment,7,100,36001,2190,8430
241,5,12,10,7,9,20,Preferential Attachment,7,100,36001,3120,8550
242,5,12,10,7,9,20,Preferential Attachment,7,100,36001,6050,5880
243,5,12,10,7,9,20,Preferential Attachment,7,100,36001,2640,9220
244,5,12,10,7,10,20,Preferential Attachment,7,100,36001,1190,8700
245,5,12,10,7,10,20,Preferential Attachment,7,100,36001,1760,7400
246,5,12,10,7,10,20,Preferential Attachment,7,100,36001,1930,7460
